lineItem/ResourceId,lineItem/ProductCode,lineItem/Operation,lineItem/UsageStartDate,lineItem/UsageAmount,lineItem/UnblendedCost
i-0abc123def456789a,AmazonEC2,RunInstances,2024-01-01T00:00:00Z,24.0,0.9984
i-0abc123def456789a,AmazonEC2,RunInstances,2024-01-02T00:00:00Z,24.0,0.9984
i-0abc123def456789a,AmazonEC2,RunInstances,2024-01-03T00:00:00Z,24.0,0.9984
i-0def456abc789012b,AmazonEC2,RunInstances,2024-01-01T00:00:00Z,24.0,1.9968
i-0def456abc789012b,AmazonEC2,RunInstances,2024-01-02T00:00:00Z,24.0,1.9968
i-0def456abc789012b,AmazonEC2,RunInstances,2024-01-03T00:00:00Z,24.0,1.9968
i-0111aaa222bbb333c,AmazonEC2,RunInstances,2024-01-01T00:00:00Z,24.0,3.9840
i-0111aaa222bbb333c,AmazonEC2,RunInstances,2024-01-02T00:00:00Z,24.0,3.9840
i-0777ggg888hhh999i,AmazonEC2,RunInstances,2024-01-01T00:00:00Z,24.0,1.9968
i-0777ggg888hhh999i,AmazonEC2,RunInstances,2024-01-02T00:00:00Z,24.0,1.9968
i-0444ddd555eee666f,AmazonEC2,RunInstances,2024-01-01T00:00:00Z,24.0,0.5520
i-0444ddd555eee666f,AmazonEC2,RunInstances,2024-01-02T00:00:00Z,24.0,0.5520
i-0aaa111bbb222ccc3,AmazonEC2,RunInstances,2024-01-01T00:00:00Z,8.0,2.6624
arn:aws:s3:::my-data-bucket,AmazonS3,PutObject,2024-01-01T00:00:00Z,500000000.0,11.5000
arn:aws:s3:::backup-bucket-2024,AmazonS3,PutObject,2024-01-01T00:00:00Z,50000000.0,1.1500
arn:aws:s3:::prod-assets-bucket,AmazonS3,PutObject,2024-01-01T00:00:00Z,200000000.0,4.6000
arn:aws:s3:::analytics-raw,AmazonS3,PutObject,2024-01-01T00:00:00Z,800000000.0,18.4000
arn:aws:s3:::analytics-raw,AmazonS3,PutObject,2024-01-02T00:00:00Z,650000000.0,14.9500
arn:aws:rds:eu-west-1:123456789012:db:mydb,AmazonRDS,CreateDBInstance,2024-01-01T00:00:00Z,24.0,1.6320
arn:aws:rds:eu-west-1:123456789012:db:mydb,AmazonRDS,CreateDBInstance,2024-01-02T00:00:00Z,24.0,1.6320
arn:aws:rds:eu-west-1:123456789012:db:analytics,AmazonRDS,CreateDBInstance,2024-01-01T00:00:00Z,24.0,3.9840
arn:aws:rds:eu-west-1:123456789012:db:analytics,AmazonRDS,CreateDBInstance,2024-01-02T00:00:00Z,24.0,3.9840
arn:aws:rds:eu-west-1:123456789012:db:reporting,AmazonRDS,CreateDBInstance,2024-01-01T00:00:00Z,24.0,4.8960
arn:aws:lambda:eu-west-1:123456789012:function:my-function,AWSLambda,Invoke,2024-01-01T00:00:00Z,2500000.0,0.0400
arn:aws:lambda:eu-west-1:123456789012:function:data-processor,AWSLambda,Invoke,2024-01-01T00:00:00Z,8500000.0,0.1360
arn:aws:lambda:eu-west-1:123456789012:function:data-processor,AWSLambda,Invoke,2024-01-02T00:00:00Z,6200000.0,0.0992
arn:aws:lambda:eu-west-1:123456789012:function:auth-handler,AWSLambda,Invoke,2024-01-01T00:00:00Z,15000000.0,0.2400
arn:aws:lambda:eu-west-1:123456789012:function:auth-handler,AWSLambda,Invoke,2024-01-02T00:00:00Z,12000000.0,0.1920
